		000.000.000		000.015.255		韩国
000.016.000		000.031.255		欧洲
000.032.000		000.063.255		台湾省
000.064.000		000.095.255		日本
000.096.000		000.127.255		欧洲
000.128.000		000.191.255		上海市
000.192.000		000.255.255		台湾省
001.000.000		001.127.255		日本
001.128.000		001.255.255		欧洲
002.000.000		002.255.255		澳大利亚
003.000.000		003.255.255		欧洲
004.000.000		004.023.255		河南省濮阳市
004.024.000		004.031.255		河南省济源市
004.032.000		004.063.255		河南省南阳市
004.064.000		004.095.255		河南省开封市
004.096.000		004.111.255		河南省许昌市
004.112.000		004.127.255		河南省漯河市
004.128.000		004.175.255		河南省安阳市
004.176.000		004.187.255		河南省三门峡市
004.188.000		004.194.255		河南省
004.195.000		004.207.255		河南省商丘市
004.208.000		004.208.255		河南省郑州市
004.209.000		004.216.186		河南省周口市
004.216.187		004.216.187		河南省项城市
004.216.188		004.223.255		河南省周口市
004.224.000		004.235.255		河南省驻马店市
004.236.000		004.239.255		河南省
004.240.000		004.247.255		河南省信阳市
004.248.000		004.248.255		河南省
004.249.000		004.249.255		河南省济源市
004.250.000		004.255.255		河南省
005.000.000		005.024.255		河南省焦作市
005.025.000		005.047.255		河南省鹤壁市
005.048.000		005.063.255		河南省平顶山市
005.064.000		005.127.255		河南省新乡市
005.128.000		005.255.255		河南省洛阳市
006.000.000		007.015.255		河南省郑州市
007.016.000		007.037.255		河南省洛阳市
007.038.000		007.038.255		河南省许昌市
007.039.000		007.039.004		河南省洛阳市
007.039.005		007.039.005		河南省长葛市
007.039.006		007.063.006		河南省洛阳市
007.063.007		007.063.007		河南省鹤壁市
007.063.008		007.080.255		河南省洛阳市
007.081.000		007.081.255		河南省平顶山市
007.082.000		007.110.255		河南省洛阳市
007.111.000		007.111.255		河南省周口市
007.112.000		007.121.255		河南省洛阳市
007.122.000		007.127.255		河南省焦作市
007.128.000		007.255.255		河南省洛阳市
008.000.000		008.019.255		河南省新乡市
008.020.000		008.023.255		河南省济源市
008.024.000		008.031.255		河南省商丘市
008.032.000		008.079.255		河南省安阳市
008.080.000		008.095.255		河南省驻马店市
008.096.000		008.111.255		河南省濮阳市
008.112.000		008.159.255		河南省焦作市
008.160.000		008.191.255		河南省信阳市
008.192.000		008.207.255		河南省平顶山市
008.208.000		008.215.255		河南省鹤壁市
008.216.000		008.255.255		河南省漯河市
009.000.000		009.016.255		河南省开封市
009.017.000		009.017.255		河南省郑州市
009.018.000		009.025.255		河南省开封市
009.026.000		009.035.255		河南省三门峡市
009.036.000		009.051.255		河南省济源市
009.052.000		009.083.255		河南省安阳市
009.084.000		009.084.255		河南省
009.085.000		009.094.255		河南省焦作市
009.095.000		009.099.255		河南省
009.100.000		009.115.255		河南省平顶山市
009.116.000		009.131.255		河南省周口市
009.132.000		009.135.255		河南省济源市
009.136.000		009.143.255		河南省平顶山市
009.144.000		009.175.255		河南省许昌市
009.176.000		009.187.255		河南省漯河市
009.188.000		009.191.255		河南省
009.192.000		009.229.255		河南省洛阳市
009.230.000		009.231.255		河南省
009.232.000		009.234.255		河南省偃师市
009.235.000		009.235.255		河南省
009.236.000		009.243.255		河南省洛阳市
009.244.000		009.248.255		河南省
009.249.000		009.249.255		河南省偃师市
009.250.000		009.255.255		河南省
010.000.000		010.015.255		河南省商丘市
010.016.000		010.063.255		河南省郑州市
010.064.000		010.079.255		河南省安阳市
010.080.000		010.127.255		河南省漯河市
010.128.000		010.131.255		河南省郑州市
010.132.000		010.133.255		河南省济源市
010.134.000		010.139.255		河南省郑州市
010.140.000		010.140.255		河南省开封市
010.141.000		010.143.255		河南省郑州市
010.144.000		010.159.255		河南省商丘市
010.160.000		010.166.255		河南省郑州市
010.167.000		010.167.255		河南省平顶山市
010.168.000		010.177.255		河南省郑州市
010.178.000		010.190.255		河南省南阳市
010.191.000		010.196.255		河南省郑州市
010.197.000		010.205.255		河南省驻马店市
010.206.000		010.208.255		河南省郑州市
010.209.000		010.209.255		河南省焦作市
010.210.000		010.225.255		河南省郑州市
010.226.000		010.227.255		河南省开封市
010.228.000		010.239.255		河南省郑州市
010.240.000		010.242.255		河南省三门峡市
010.243.000		011.014.255		河南省郑州市
011.015.000		011.015.255		河南省濮阳市
011.016.000		011.031.255		河南省南阳市
011.032.000		011.059.255		河南省信阳市
011.060.000		011.064.255		河南省郑州市
011.065.000		011.079.255		河南省南阳市
011.080.000		011.101.255		河南省郑州市
011.102.000		011.111.255		河南省新乡市
011.112.000		011.137.255		河南省开封市
011.138.000		011.143.255		河南省郑州市
011.144.000		011.159.255		河南省安阳市
011.160.000		011.170.255		河南省林州市
011.171.000		011.171.255		河南省郑州市
011.172.000		011.175.255		河南省林州市
011.176.000		011.191.255		河南省南阳市
011.192.000		011.199.255		河南省许昌市
011.200.000		011.224.255		河南省南阳市
011.225.000		011.225.255		河南省鹤壁市
011.226.000		011.255.255		河南省南阳市
012.000.000		012.031.255		河南省商丘市
012.032.000		012.050.255		河南省郑州市
012.051.000		012.053.255		河南省新乡市
012.054.000		012.093.255		河南省郑州市
012.094.000		012.094.255		河南省洛阳市
012.095.000		012.100.255		河南省郑州市
012.101.000		012.101.255		河南省济源市
012.102.000		012.105.255		河南省郑州市
012.106.000		012.108.255		河南省濮阳市
012.109.000		012.109.255		河南省郑州市
012.110.000		012.112.255		河南省濮阳市
012.113.000		012.120.255		河南省郑州市
012.121.000		012.124.255		河南省濮阳市
